epoch 404, time = 29.458, error = 2341.51533451
epoch 405, time = 28.902, error = 2852.57134521
epoch 406, time = 29.116, error = 12207.5450506
epoch 407, time = 28.792, error = 2239.72236974
epoch 408, time = 29.241, error = 2147.57012759
epoch 409, time = 28.889, error = 2038.03461341
epoch 410, time = 28.996, error = 2225.67257895
epoch 411, time = 29.352, error = 2099.15924294
epoch 412, time = 29.755, error = 2310.62900939
epoch 413, time = 28.815, error = 1612.06969949
epoch 414, time = 28.67, error = 2358.58061887
epoch 415, time = 29.238, error = 2430.73997283
epoch 416, time = 29.535, error = 2460.1294367
epoch 417, time = 28.899, error = 2597.0018806
epoch 418, time = 28.978, error = 2566.15021822
epoch 419, time = 29.005, error = 2170.74710894
epoch 420, time = 28.986, error = 2135.90803455
epoch 421, time = 28.426, error = 2815.09486699
epoch 422, time = 29.315, error = 2067.81220564
epoch 423, time = 28.785, error = 2542.89097357
epoch 424, time = 29.935, error = 2212.89346726
epoch 425, time = 28.821, error = 2583.34480526
epoch 426, time = 29.168, error = 2270.01356986
epoch 427, time = 28.39, error = 2286.43927327
epoch 428, time = 28.981, error = 2125.80382902
epoch 429, time = 29.236, error = 2642.53972738
epoch 430, time = 28.942, error = 2071.81345943
epoch 431, time = 29.167, error = 2208.37891526
epoch 432, time = 29.042, error = 1983.73032255
epoch 433, time = 28.768, error = 2547.26444341
epoch 434, time = 28.502, error = 2047.46771948
epoch 435, time = 29.258, error = 1796.46919083
epoch 436, time = 29.065, error = 2054.369775
epoch 437, time = 28.838, error = 2279.54597811
epoch 438, time = 30.043, error = 2347.84363372
epoch 439, time = 28.458, error = 2073.76554369
epoch 440, time = 29.45, error = 2178.95090787
epoch 441, time = 28.815, error = 2069.03190136
epoch 442, time = 29.289, error = 2279.46124132
epoch 443, time = 29.072, error = 1861.67847418
epoch 444, time = 28.499, error = 1831.93355813
epoch 445, time = 29.383, error = 1576.69967944
epoch 446, time = 28.5, error = 1786.59973221
epoch 447, time = 28.716, error = 1832.5366489
epoch 448, time = 28.751, error = 1986.33464266
epoch 449, time = 29.528, error = 1710.22369404
epoch 450, time = 29.52, error = 1986.55666668
epoch 451, time = 32.072, error = 1984.33925489
epoch 452, time = 29.346, error = 1664.45257701
epoch 453, time = 30.005, error = 1844.62110921
epoch 454, time = 29.628, error = 1837.81397442
epoch 455, time = 29.387, error = 1686.13392974
epoch 456, time = 28.923, error = 1944.17661766
epoch 457, time = 29.597, error = 1524.26546468
epoch 458, time = 28.55, error = 2143.5216455
epoch 459, time = 29.293, error = 2081.62461648
epoch 460, time = 29.381, error = 1963.23389256
epoch 461, time = 29.341, error = 1966.88187296
epoch 462, time = 29.104, error = 1826.8926948
epoch 463, time = 29.334, error = 1825.02832874
epoch 464, time = 29.054, error = 1689.0377322
epoch 465, time = 30.634, error = 2087.51674033
epoch 466, time = 28.96, error = 1851.00321244
epoch 467, time = 29.102, error = 2238.89583583
epoch 468, time = 29.48, error = 1930.6779473
epoch 469, time = 29.616, error = 1666.11081206
epoch 470, time = 29.374, error = 1593.06190138
epoch 471, time = 28.998, error = 1584.23877836
epoch 472, time = 28.697, error = 1847.82446202
epoch 473, time = 29.22, error = 1798.43078874
epoch 474, time = 29.165, error = 1835.58812521
epoch 475, time = 29.218, error = 2067.08763153
epoch 476, time = 28.783, error = 1846.77978485
epoch 477, time = 28.778, error = 1900.37278676
epoch 478, time = 28.809, error = 1700.83005081
epoch 479, time = 29.163, error = 1665.00955195
epoch 480, time = 28.832, error = 1747.18682438
epoch 481, time = 28.722, error = 2319.98678027
epoch 482, time = 28.913, error = 1645.4763058
epoch 483, time = 28.88, error = 1708.50166159
epoch 484, time = 28.744, error = 1532.82969146
epoch 485, time = 28.741, error = 1730.56591152
epoch 486, time = 29.309, error = 1557.16029085
epoch 487, time = 28.813, error = 1820.05915849
epoch 488, time = 28.632, error = 2098.07971397
epoch 489, time = 29.54, error = 1781.22243908
epoch 490, time = 29.107, error = 1841.80666593
epoch 491, time = 29.259, error = 1833.81000612
epoch 492, time = 30.394, error = 1641.04512323
epoch 493, time = 29.175, error = 1690.95368449
epoch 494, time = 28.83, error = 1829.79660648
epoch 495, time = 29.476, error = 1441.43370163
epoch 496, time = 29.163, error = 1929.94851734
epoch 497, time = 29.422, error = 1490.00660087
epoch 498, time = 29.095, error = 1778.168599
epoch 499, time = 29.356, error = 1501.37739863
epoch 500, time = 28.938, error = 1772.72800708
epoch 501, time = 31.63, error = 1773.42277585
epoch 502, time = 29.511, error = 1957.94722222
epoch 503, time = 29.252, error = 1634.46499403
epoch 504, time = 28.905, error = 1858.80827198
epoch 505, time = 29.07, error = 1700.46797818
epoch 506, time = 29.507, error = 2145.39573015
epoch 507, time = 29.162, error = 1561.20088708
epoch 508, time = 28.824, error = 1625.54457027
